,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
0,422.284,186.0,186.096,585.356,337.079,275.0,375.578,503.878,1255.66,399.0,328.0,261.0,355.0
1,320.274,228.0,366.784,474.102,227.819,291.0,232.924,627.825,423.734,1002.9999999999999,245.0,372.0,548.0
2,675.327,216.0,474.453,165.564,272.663,243.0,364.583,674.153,272.663,490.0,248.0,243.0,513.0
3,397.251,207.0,464.523,261.779,301.957,317.0,416.667,509.415,398.133,399.0,188.0,425.0,520.0
4,303.839,188.0,1318.423,639.084,353.333,319.0,312.5,337.076,320.0,320.0,232.0,383.0,340.0
5,163.791,645.0,1085.115,482.697,627.83,411.0,265.574,308.845,187.266,403.0,180.0,441.0,394.0
6,421.348,277.0,330.489,266.963,301.957,300.0,260.417,449.435,187.266,471.0,276.0,998.0,349.0
7,240.0,416.0,620.438,215.869,187.266,259.0,629.325,561.794,264.834,236.0,407.0,366.0,265.0
8,140.449,396.0,328.467,335.241,374.532,1125.0,758.345,370.765,270.079,287.0,368.0,301.0,568.0
9,163.791,276.0,480.035,523.558,227.819,512.0,214.745,376.397,877.556,384.0,300.0,280.0,355.0
10,219.389,366.0,437.956,556.55,322.184,300.0,156.25,413.681,251.244,152.0,384.0,225.0,446.0
11,351.965,242.0,309.682,496.691,301.957,356.0,468.75,319.998,374.532,320.0,441.0,312.0,344.0
12,342.881,268.0,218.978,209.423,398.133,236.0,429.49,572.92,449.438,227.0,367.0,233.0,449.0
13,240.0,366.0,401.46,366.491,299.625,198.0,316.811,636.7,385.604,301.0,342.0,303.0,404.0
14,532.968,266.0,265.697,318.468,285.235,450.0,265.574,463.267,503.881,465.0,245.0,353.0,280.0
15,226.468,377.0,182.482,422.106,438.378,373.0,329.404,154.422,486.891,415.0,313.0,227.0,554.0
16,276.653,318.0,212.808,314.135,262.172,380.0,260.417,262.17,345.301,549.0,173.0,358.0,339.0
17,79.45,245.0,439.474,366.491,264.834,332.0,379.172,224.718,545.327,829.0,294.0,263.0,473.0
18,224.719,313.0,548.66,331.127,469.287,617.0,368.285,427.029,536.248,560.0,243.0,233.0,515.0
19,266.484,166.0,265.697,335.241,423.734,384.0,677.083,529.664,572.924,460.0,283.0,325.0,472.0
20,320.274,154.0,336.48,281.945,381.949,251.0,208.333,345.299,532.31,298.0,383.0,300.0,251.0
21,390.237,175.0,752.392,335.241,455.638,223.0,731.024,154.422,529.668,554.0,490.0,238.0,434.0
22,226.468,249.0,311.825,314.135,239.817,223.0,465.847,227.817,398.133,479.0,421.0,584.0,574.0
23,280.899,322.0,461.646,408.912,385.604,611.0,303.695,301.955,368.871,458.0,255.0,362.0,317.0
24,188.433,288.0,336.48,474.102,317.801,332.0,316.811,737.737,452.549,407.0,391.0,351.0,388.0
25,258.976,223.0,326.433,1048.425,450.996,307.0,214.745,272.661,520.316,544.0,206.0,387.0,359.0
26,241.638,249.0,115.412,314.135,353.333,245.0,208.333,499.684,486.891,294.0,583.0,325.0,293.0
27,337.079,319.0,427.179,381.156,427.032,279.0,260.417,339.151,353.333,454.0,521.0,335.0,186.0
28,421.348,304.0,588.486,610.569,479.635,343.0,329.404,617.689,355.312,471.0,245.0,336.0,424.0
29,314.054,401.0,233.691,370.212,320.0,396.0,260.417,715.537,334.991,613.0,285.0,279.0,611.0
30,710.624,228.0,510.949,408.912,715.542,300.0,396.655,636.7,345.301,371.0,387.0,265.0,391.0
31,338.247,223.0,589.617,215.869,224.719,132.0,774.274,381.946,345.301,697.0,285.0,391.0,284.0
32,308.989,180.0,218.978,314.135,339.153,353.0,751.157,264.832,772.117,352.0,448.0,395.0,186.0
33,179.863,279.0,311.825,408.912,405.118,358.0,445.0,322.182,334.991,287.0,285.0,563.0,328.0
34,539.589,566.0,412.909,431.737,317.801,410.0,465.847,609.689,905.872,322.0,222.0,250.0,574.0
35,872.597,334.0,255.474,680.626,403.383,208.0,260.417,345.299,614.278,565.0,212.0,354.0,293.0
36,675.327,349.0,300.957,556.55,322.184,177.0,494.106,339.151,524.345,425.0,220.0,277.0,453.0
37,595.214,305.0,769.891,281.945,292.519,458.0,582.309,227.817,398.133,396.0,358.0,358.0,209.0
38,428.774,561.0,445.495,366.491,403.383,243.0,725.437,292.517,322.184,316.0,450.0,537.0,2079.0
39,280.899,305.0,300.957,698.514,570.47,269.0,368.285,334.989,201.692,270.0,441.0,570.0,501.0
40,251.244,211.0,464.523,314.135,592.187,430.0,429.49,187.265,457.174,282.0,362.0,271.0,159.0
41,517.952,238.0,611.79,261.779,368.871,343.0,396.655,492.616,345.301,248.0,294.0,366.0,256.0
42,382.064,230.0,738.995,261.779,345.301,411.0,627.166,262.17,292.519,441.0,328.0,410.0,293.0
43,568.777,252.0,291.971,526.17,486.891,439.0,316.811,418.736,187.266,282.0,310.0,382.0,259.0
44,405.118,271.0,154.841,215.869,637.805,367.0,333.496,251.242,385.604,441.0,243.0,420.0,373.0
45,286.462,166.0,531.395,266.963,320.0,353.0,364.583,403.38,149.813,413.0,497.0,448.0,306.0
46,741.594,264.0,852.016,370.212,301.957,559.0,471.635,339.151,675.197,282.0,206.0,253.0,264.0
47,376.865,490.0,443.997,318.468,322.184,483.0,419.909,272.661,864.674,251.0,481.0,187.0,1030.0
48,264.999,319.0,387.962,1193.897,385.604,294.0,494.106,264.832,405.118,603.0,302.0,372.0,355.0
49,631.242,346.0,221.999,157.068,190.975,362.0,312.5,285.233,374.532,413.0,271.0,183.0,256.0
50,196.629,408.0,255.474,296.169,509.418,253.0,582.309,299.623,525.68,580.0,228.0,317.0,291.0
51,202.559,779.0,589.617,596.948,669.983,391.0,629.325,272.661,149.813,262.0,864.0,671.0,461.0
52,158.9,249.0,291.971,630.448,270.079,318.0,260.417,201.69,571.698,381.0,233.0,298.0,159.0
53,308.989,295.0,277.948,266.963,251.244,377.0,468.75,503.878,619.961,415.0,258.0,493.0,532.0
