,group1,group2,Diff,Lower,Upper,q-value,p-value
0,01,02,45.2972,14.7491,75.8452,6.9493,0.001
1,01,03,38.957,8.9353,68.9787,6.0814,0.0012
2,01,04,136.1843,105.7245,166.6442,20.9532,0.001
3,01,05,38.7552,10.4023,67.1081,6.4059,0.001
4,01,06,25.23,-5.318,55.778,3.8707,0.2333
5,01,07,46.4667,15.9186,77.0147,7.1287,0.001
6,01,08,212.6381,182.3012,242.975,32.8489,0.001
7,01,09,95.2379,64.6898,125.7859,14.6109,0.001
8,01,10,72.8549,42.3069,103.403,11.177,0.001
9,01,11,53.5019,21.4629,85.541,7.826,0.001
10,01,12,51.8134,21.2654,82.3614,7.9489,0.001
11,01,13,74.1517,43.6036,104.6997,11.376,0.001
12,02,03,84.2542,54.2325,114.2759,13.1524,0.001
13,02,04,181.4815,151.0217,211.9413,27.9225,0.001
14,02,05,84.0524,55.6995,112.4052,13.8932,0.001
15,02,06,70.5272,39.9791,101.0752,10.8199,0.001
16,02,07,1.1695,-29.3785,31.7175,0.1794,0.9
17,02,08,257.9353,227.5984,288.2721,39.8465,0.001
18,02,09,140.535,109.987,171.0831,21.5601,0.001
19,02,10,118.1521,87.6041,148.7001,18.1263,0.001
20,02,11,98.7991,66.7601,130.8381,14.4519,0.001
21,02,12,97.1105,66.5625,127.6586,14.8982,0.001
22,02,13,119.4488,88.9008,149.9969,18.3252,0.001
23,03,04,97.2273,67.2954,127.1593,15.2231,0.001
24,03,05,0.2018,-27.5832,27.9868,0.034,0.9
25,03,06,13.727,-16.2947,43.7487,2.1428,0.9
26,03,07,85.4237,55.402,115.4454,13.335,0.001
27,03,08,173.6811,143.8743,203.4879,27.3078,0.001
28,03,09,56.2809,26.2592,86.3026,8.7857,0.001
29,03,10,33.8979,3.8762,63.9196,5.2916,0.0117
30,03,11,14.5449,-16.9927,46.0825,2.1614,0.9
31,03,12,12.8564,-17.1653,42.8781,2.0069,0.9
32,03,13,35.1947,5.173,65.2164,5.494,0.0068
33,04,05,97.4291,69.1713,125.687,16.1585,0.001
34,04,06,110.9543,80.4945,141.4142,17.0713,0.001
35,04,07,182.651,152.1912,213.1108,28.1025,0.001
36,04,08,76.4538,46.2057,106.7018,11.8454,0.001
37,04,09,40.9465,10.4866,71.4063,6.3,0.001
38,04,10,63.3294,32.8696,93.7892,9.7438,0.001
39,04,11,82.6824,50.7274,114.6373,12.1262,0.001
40,04,12,84.3709,53.9111,114.8308,12.9812,0.001
41,04,13,62.0327,31.5728,92.4925,9.5443,0.001
42,05,06,13.5252,-14.8277,41.8781,2.2356,0.9
43,05,07,85.2219,56.869,113.5747,14.0865,0.001
44,05,08,173.8829,145.7577,202.0082,28.9741,0.001
45,05,09,56.4827,28.1298,84.8355,9.3362,0.001
46,05,10,34.0997,5.7469,62.4526,5.6364,0.0046
47,05,11,14.7467,-15.2066,44.7001,2.3073,0.9
48,05,12,13.0582,-15.2947,41.4111,2.1584,0.9
49,05,13,35.3965,7.0436,63.7493,5.8508,0.0025
50,06,07,71.6967,41.1486,102.2447,10.9993,0.001
51,06,08,187.4081,157.0712,217.745,28.9513,0.001
52,06,09,70.0079,39.4598,100.5559,10.7402,0.001
53,06,10,47.6249,17.0769,78.173,7.3064,0.001
54,06,11,28.2719,-3.7671,60.311,4.1355,0.1498
55,06,12,26.5834,-3.9646,57.1314,4.0783,0.1659
56,06,13,48.9217,18.3736,79.4697,7.5053,0.001
57,07,08,259.1048,228.7679,289.4416,40.0271,0.001
58,07,09,141.7045,111.1565,172.2526,21.7396,0.001
59,07,10,119.3216,88.7736,149.8696,18.3057,0.001
60,07,11,99.9686,67.9296,132.0076,14.6229,0.001
61,07,12,98.2801,67.732,128.8281,15.0776,0.001
62,07,13,120.6183,90.0703,151.1664,18.5046,0.001
63,08,09,117.4002,87.0634,147.7371,18.1363,0.001
64,08,10,139.7832,109.4463,170.12,21.5941,0.001
65,08,11,159.1362,127.2984,190.9739,23.4248,0.001
66,08,12,160.8247,130.4879,191.1616,24.8446,0.001
67,08,13,138.4864,108.1496,168.8233,21.3937,0.001
68,09,10,22.3829,-8.1651,52.931,3.4339,0.4282
69,09,11,41.7359,9.6969,73.775,6.1049,0.0011
70,09,12,43.4245,12.8765,73.9725,6.662,0.001
71,09,13,21.0862,-9.4618,51.6342,3.2349,0.5226
72,10,11,19.353,-12.686,51.392,2.8309,0.7037
73,10,12,21.0416,-9.5065,51.5896,3.2281,0.5257
74,10,13,1.2967,-29.2513,31.8448,0.1989,0.9
75,11,12,1.6885,-30.3505,33.7276,0.247,0.9
76,11,13,20.6497,-11.3893,52.6888,3.0205,0.6187
77,12,13,22.3383,-8.2097,52.8863,3.427,0.4316
